source,text,created_at,is_retweet,id_str
Twitter for iPhone,....and Safety at the Border or anywhere else. They know nothing about it and are making our Country unsafe. Our great Law Enforcement professionals MUST BE ALLOWED TO DO THEIR JOB! If not there will be only bedlam chaos injury and death. We want the Constitution as written!,11-22-2018 12:30:27,false,1065583286188158976
Twitter for iPhone,Justice Roberts can say what he wants but the 9th Circuit is a complete &amp; total disaster. It is out of control has a horrible reputation is overturned more than any Circuit in the Country 79% &amp; is used to get an almost guaranteed result. Judges must not Legislate Security...,11-22-2018 12:21:51,false,1065581119242940416
Twitter for iPhone,HAPPY THANKSGIVING TO ALL!,11-22-2018 12:01:51,false,1065576088779272192
Twitter for iPhone,“It’s a mean &amp; nasty world out there the Middle East in particular. This is a long and historic commitment &amp; one that is absolutely vital to America’s national security.” @SecPompeo  I agree 100%. In addition many Billions of Dollars of purchases made in U.S. big Jobs &amp; Oil!,11-22-2018 11:58:24,false,1065575219576926208
Twitter for iPhone,You just can’t win with the Fake News Media. A big story today is that because I have pushed so hard and gotten Gasoline Prices so low more people are driving and I have caused traffic jams throughout our Great Nation. Sorry everyone!,11-22-2018 00:36:06,false,1065403512559992832
Twitter for iPhone,Brutal and Extended Cold Blast could shatter ALL RECORDS - Whatever happened to Global Warming?,11-22-2018 00:23:09,false,1065400254151954432
Twitter for iPhone,“79% of these decisions have been overturned in the 9th Circuit.” @FoxNews  A terrible costly and dangerous disgrace. It has become a dumping ground for certain lawyers looking for easy wins and delays. Much talk over dividing up the 9th Circuit into 2 or 3 Circuits. Too big!,11-21-2018 22:17:33,false,1065368645021388800
Twitter for iPhone,There are a lot of CRIMINALS in the Caravan. We will stop them. Catch and Detain! Judicial Activism by people who know nothing about security and the safety of our citizens is putting our country in great danger. Not good!,11-21-2018 21:42:30,false,1065359825654169600
Twitter for iPhone,“Thank you to President Trump on the Border. No American President has ever done this before.” Hector Garza National Border Patrol Council,11-21-2018 21:31:24,false,1065357030985252865
Twitter for iPhone,.....are so many opposing view (on Border and Safety) cases filed there and why are a vast number of those cases overturned. Please study the numbers they are shocking. We need protection and security - these rulings are making our country unsafe! Very dangerous and unwise!,11-21-2018 21:09:20,false,1065351478347530241
Twitter for iPhone,Sorry Chief Justice John Roberts but you do indeed have “Obama judges” and they have a much different point of view than the people who are charged with the safety of our country. It would be great if the 9th Circuit was indeed an “independent judiciary” but if it is why......,11-21-2018 20:51:11,false,1065346909362143232
Twitter for iPhone,Great new book out “Mad Politics: Keeping Your Sanity in a World Gone Crazy” by @RealDrGina Loudon. Go out and get your copy today — a great read!,11-21-2018 15:13:33,false,1065261943202738178
Twitter for iPhone,“‘Trump Imitation Syndrome’ is afflicting the president’s liberal enemies” Thank you @MGoodwin_NYPost! https://t.co/KpmsrKCaBZ,11-21-2018 14:16:26,false,1065247567443869696
Twitter for iPhone,MAKE AMERICA GREAT AGAIN!,11-21-2018 12:50:29,false,1065225940836458496
Twitter for iPhone,Oil prices getting lower. Great! Like a big Tax Cut for America and the World. Enjoy! $54 was just $82. Thank you to Saudi Arabia but let’s go lower!,11-21-2018 12:49:51,false,1065225779825598465
Twitter for iPhone,AMERICA FIRST!,11-21-2018 04:40:03,false,1065102519188275201
Twitter for iPhone,So-called comedian Michelle Wolf bombed so badly last year at the White House Correspondents’ Dinner that this year for the first time in decades they will have an author instead of a comedian. Good first step in comeback of a dying evening and tradition! Maybe I will go?,11-21-2018 03:43:41,false,1065088330969305089
Twitter for iPhone,I hope the discovery and eventual recovery of the Argentine submarine San Juan brings needed closure to the wonderful families of those brave missing sailors. I look forward to hearing more from my friend President @MauricioMacri in Argentina later this month.,11-20-2018 04:19:18,false,1064734907941994497
Twitter for iPhone,The Fake News is showing old footage of people climbing over our Ocean Area Fence. This is what it really looks like - no climbers anymore under our Administration! https://t.co/CD4ltRePML,11-19-2018 19:10:09,false,1064596708875747328
Twitter for iPhone,....We no longer pay Pakistan the $Billions because they would take our money and do nothing for us Bin Laden being a prime example Afghanistan being another. They were just one of many countries that take from the United States without giving anything in return. That’s ENDING!,11-19-2018 15:41:19,false,1064544156960387072
Twitter for iPhone,Of course we should have captured Osama Bin Laden long before we did. I pointed him out in my book just BEFORE the attack on the World Trade Center. President Clinton famously missed his shot. We paid Pakistan Billions of Dollars &amp; they never told us he was living there. Fools!..,11-19-2018 15:26:39,false,1064540462848098304
